"Subject","Block","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","693","0.693","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","365","0.365","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","369","0.369","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","439","0.439","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","625","0.625","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","916","0.916","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","568","0.568","1"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","456","0.456","1"
"10","1","Friend","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","Self","569","0.569","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","414","0.414","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","979","0.979","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","416","0.416","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","453","0.453","1"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","470","0.47","0"
"10","1","Self","Self","self-matching","Matching","Self","Self","Self","Self","Self","Self","Self","302","0.302","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","328","0.328","1"
"10","1","Friend","Self","self-matching","Nonmatching","Self","Self","Self","Friend","Friend","Close","Self","347","0.347","0"
"10","1","Self","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","Self","281","0.281","1"
